13:18:00.015 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
13:18:03.881 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.163 seconds (JVM running for 5.015)
13:18:03.883 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
13:19:01.426 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 24792 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
13:19:01.439 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
13:19:05.309 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.185 seconds (JVM running for 5.082)
13:19:05.311 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
13:19:51.977 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 29204 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
13:19:51.984 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
13:19:55.984 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.279 seconds (JVM running for 5.101)
13:19:55.986 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
13:21:05.110 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 26840 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
13:21:05.120 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
13:21:19.462 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 14.686 seconds (JVM running for 15.883)
13:21:19.465 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
13:23:01.133 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 24836 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
13:23:01.142 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
13:23:05.632 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.857 seconds (JVM running for 5.914)
13:23:05.634 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
13:24:05.089 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 24524 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
13:24:05.097 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
13:24:09.682 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.92 seconds (JVM running for 5.923)
13:24:09.685 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
13:26:40.857 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 26976 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
13:26:40.870 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
